Raw EEG,Attention,Meditation,Alpha,Delta,Theta,Low Beta,High Beta,Gamma
5.343119303,,,,,,,,
0.840187073,,,,,,,,
-2.084096273,,,,,,,,
4.181226095,,,,,,,,
-3.440856934,,,,,,,,
-0.106493632,,,,,,,,
3.65225474,,,,,,,,
-5.768140157,,,,,,,,
-0.336011251,,,,,,,,
-0.310897827,,,,,,,,
-3.300031026,,,,,,,,
4.0102005,,,,,,,,
0.798225403,,,,,,,,
-1.854260763,,,,,,,,
0.360171,,,,,,,,
-16.23535156,,,,,,,,
6.84038798,,,,,,,,
4.772186279,,,,,,,,
-5.388577779,,,,,,,,
-3.781954447,,,,,,,,
-3.023465474,,,,,,,,
-4.531860352,,,,,,,,
-3.538449605,,,,,,,,
-14.92595673,,,,,,,,
-2.494812012,,,,,,,,
-9.988466899,,,,,,,,
-16.47186279,,,,,,,,
-6.020545959,,,,,,,,
-9.339014689,,,,,,,,
4.553159078,,,,,,,,
12.70453135,,,,,,,,
7.995605469,,,,,,,,
14.79434967,,,,,,,,
13.61179352,,,,,,,,
15.07123311,,,,,,,,
12.76048024,,,,,,,,
8.941014608,,,,,,,,
10.55018107,,,,,,,,
11.56743368,,,,,,,,
9.292920431,,,,,,,,
17.55714417,,,,,,,,
14.19480642,,,,,,,,
8.639017741,,,,,,,,
12.28364309,,,,,,,,
12.58309682,,,,,,,,
6.819407145,,,,,,,,
22.92474111,,,,,,,,
6.655375163,,,,,,,,
5.183537801,,,,,,,,
49.40160116,,,,,,,,
43.43064626,,,,,,,,
51.88687642,,,,,,,,
53.96207174,,,,,,,,
48.44792684,,,,,,,,
54.55780029,,,,,,,,
50.02562205,,,,,,,,
46.60574595,,,,,,,,
44.43264008,,,,,,,,
32.87188212,,,,,,,,
35.84575653,,,,,,,,
35.31614939,,,,,,,,
33.28323364,,,,,,,,
36.29144033,,,,,,,,
26.17200216,,,,,,,,
19.9432373,,,,,,,,
23.97346497,,,,,,,,
26.46700541,,,,,,,,
26.79602305,,,,,,,,
25.75620015,,,,,,,,
11.25621796,,,,,,,,
18.31626892,,,,,,,,
11.69045766,,,,,,,,
22.8767395,,,,,,,,
28.83052826,,,,,,,,
11.25144958,,,,,,,,
21.80131276,,,,,,,,
15.03149668,,,,,,,,
7.380803426,,,,,,,,
8.072535197,,,,,,,,
3.633499146,,,,,,,,
-2.382278442,,,,,,,,
-1.062075297,,,,,,,,
6.031354268,,,,,,,,
0.372568766,,,,,,,,
-11.45935059,,,,,,,,
-8.992830912,,,,,,,,
4.948616028,,,,,,,,
1.099904378,,,,,,,,
3.757794698,,,,,,,,
4.891395569,,,,,,,,
4.700024923,,,,,,,,
10.34990946,,,,,,,,
-4.271825155,,,,,,,,
-1.132011414,,,,,,,,
10.83628337,,,,,,,,
3.363291423,,,,,,,,
7.50541687,,,,,,,,
13.29644521,,,,,,,,
-8.295694987,,,,,,,,
21.8146642,,,,,,,,
11.42946879,,,,,,,,
11.91075643,,,,,,,,
20.89977264,,,,,,,,
17.66268412,,,,,,,,
8.48865509,,,,,,,,
7.24029541,,,,,,,,
-4.492123922,,,,,,,,
-8.16822052,,,,,,,,
-11.78773244,,,,,,,,
-4.00575002,,,,,,,,
28.75423431,,,,,,,,
22.92219798,,,,,,,,
16.40955607,,,,,,,,
10.49836477,,,,,,,,
13.103803,,,,,,,,
5.797068278,,,,,,,,
6.107648214,,,,,,,,
1.623789469,,,,,,,,
2.993265788,,,,,,,,
-2.65566508,,,,,,,,
4.08299764,,,,,,,,
11.00381215,,,,,,,,
1.605033875,,,,,,,,
3.483136495,,,,,,,,
-1.939455668,,,,,,,,
-8.760452271,,,,,,,,
3.079096476,,,,,,,,
-6.136576335,,,,,,,,
-3.556569417,,,,,,,,
9.645462036,,,,,,,,
1.461982727,,,,,,,,
-2.627690633,,,,,,,,
-4.610379537,,,,,,,,
-10.75808207,,,,,,,,
-22.78614044,,,,,,,,
-20.62161764,,,,,,,,
-16.61141713,,,,,,,,
-20.83778381,,,,,,,,
-30.04487356,,,,,,,,
-23.71756236,,,,,,,,
-29.34010824,,,,,,,,
-34.20384725,,,,,,,,
-29.66372172,,,,,,,,
-40.5921936,,,,,,,,
-34.17619069,,,,,,,,
-29.83093262,,,,,,,,
-30.49278259,,,,,,,,
-21.64904277,,,,,,,,
-12.97601064,,,,,,,,
-21.71293894,,,,,,,,
-22.89104462,,,,,,,,
-24.1505305,,,,,,,,
-18.97780101,,,,,,,,
-17.77267456,,,,,,,,
-12.48423258,,,,,,,,
-16.54752096,,,,,,,,
-12.28014628,,,,,,,,
-22.44408925,,,,,,,,
-10.36834717,,,,,,,,
-9.641647339,,,,,,,,
-7.772445679,,,,,,,,
9.35236613,,,,,,,,
-0.882784526,,,,,,,,
9.746233622,,,,,,,,
5.420049032,,,,,,,,
5.462964376,,,,,,,,
7.057825724,,,,,,,,
10.26089986,,,,,,,,
11.63641612,,,,,,,,
8.307774862,,,,,,,,
0.736236572,,,,,,,,
4.716237386,,,,,,,,
25.29716492,,,,,,,,
46.2064743,,,,,,,,
54.01770274,,,,,,,,
69.50441996,,,,,,,,
104.6269735,,,,,,,,
132.5553258,,,,,,,,
145.5065409,,,,,,,,
178.1946818,,,,,,,,
186.931928,,,,,,,,
177.0715714,,,,,,,,
182.873408,,,,,,,,
173.1011073,,,,,,,,
155.787468,,,,,,,,
134.0265274,,,,,,,,
97.86128998,,,,,,,,
73.02188873,,,,,,,,
62.20340729,,,,,,,,
42.98845927,,,,,,,,
39.30886587,,,,,,,,
16.3046519,,,,,,,,
-9.486516317,,,,,,,,
-18.58584086,,,,,,,,
-43.17378998,,,,,,,,
-48.19138845,,,,,,,,
-55.17737071,,,,,,,,
-57.09711711,,,,,,,,
-54.65062459,,,,,,,,
-67.09416707,,,,,,,,
-77.33122508,,,,,,,,
-73.20753733,,,,,,,,
-77.34394073,,,,,,,,
-76.36356354,,,,,,,,
-77.709198,,,,,,,,
-78.05188497,,,,,,,,
-73.45612844,,,,,,,,
-68.93062592,,,,,,,,
-69.94469961,,,,,,,,
-70.83765666,,,,,,,,
-74.98931885,,,,,,,,
-71.26808167,,,,,,,,
-65.45225779,,,,,,,,
-69.05810038,,,,,,,,
-52.99631755,,,,,,,,
-52.50104268,,,,,,,,
-58.91418457,,,,,,,,
-53.13301086,,,,,,,,
-55.31978607,,,,,,,,
-50.83274841,,,,,,,,
-45.33608754,,,,,,,,
-52.70608266,,,,,,,,
-47.20846812,,,,,,,,
-33.08677673,,,,,,,,
-37.56777445,,,,,,,,
-46.11905416,,,,,,,,
-48.11286926,,,,,,,,
-54.17251587,,,,,,,,
-44.06897227,,,,,,,,
-35.40356954,,,,,,,,
-17.24910736,,,,,,,,
-11.76611582,,,,,,,,
-10.08637746,,,,,,,,
-6.783803304,,,,,,,,
-13.84512583,,,,,,,,
-13.55266571,,,,,,,,
-6.080627441,,,,,,,,
-19.69973246,,,,,,,,
-10.00213623,,,,,,,,
-13.07614644,,,,,,,,
-9.791056315,,,,,,,,
2.645174662,,,,,,,,
-6.649653117,,,,,,,,
-10.16839345,,,,,,,,
-5.120913188,,,,,,,,
-17.94878642,,,,,,,,
-13.40738932,,,,,,,,
-19.43556468,,,,,,,,
-23.81928762,,,,,,,,
-11.28737132,,,,,,,,
-15.16755422,,,,,,,,
-29.52003479,,,,,,,,
-27.51064301,,,,,,,,
-30.45495351,,,,,,,,
-19.6536382,,,,,,,,
-18.09374491,,,,,,,,
-21.85821533,,,,,,,,
-15.38976034,,,,,,,,
-20.06912231,,,,,,,,
-18.02412669,,,,,,,,
-9.943008423,,,,,,,,
-17.56350199,,,,,,,,
-12.85394033,,,,,,,,
-16.90514882,,,,,,,,
-4.551887512,,,,,,,,
9.739240011,,,,,,,,
1.507441203,,,,,,,,
-0.755945841,,,,,,,,
-0.50163269,,,,,,,,
-0.568707784,,,,,,,,
11.40658061,,,,,,,,
5.973180135,,,,,,,,
-2.26910909,,,,,,,,
6.355285645,,,,,,,,
-0.194231669,,,,,,,,
-2.75739034,,,,,,,,
-1.585006714,,,,,,,,
-7.294019063,,,,,,,,
2.959251404,,,,,,,,
1.569430033,,,,,,,,
-1.044591268,,,,,,,,
2.150217692,,,,,,,,
3.773371379,,,,,,,,
-2.380371094,,,,,,,,
8.095741272,,,,,,,,
0.763257345,,,,,,,,
3.564198812,,,,,,,,
8.340199788,,,,,,,,
-0.597318014,,,,,,,,
13.36765289,,,,,,,,
12.38155365,,,,,,,,
15.76773326,,,,,,,,
19.18029785,,,,,,,,
20.2776591,,,,,,,,
21.72056834,,,,,,,,
21.19445801,,,,,,,,
14.95265961,,,,,,,,
12.58627574,,,,,,,,
9.693781535,,,,,,,,
6.670633952,,,,,,,,
17.42935181,,,,,,,,
9.863217672,,,,,,,,
10.47674815,,,,,,,,
6.667772929,,,,,,,,
9.785652161,,,,,,,,
20.43088277,,,,,,,,
20.44963837,,,,,,,,
-0.468889872,,,,,,,,
8.558909098,,,,,,,,
3.456115723,,,,,,,,
5.144755046,,,,,,,,
9.037017822,,,,,,,,
6.831169128,,,,,,,,
18.75368754,,,,,,,,
20.48842112,,,,,,,,
17.59974162,,,,,,,,
16.78498586,,,,,,,,
-3.432909648,,,,,,,,
-6.298065186,,,,,,,,
1.930554708,,,,,,,,
1.642227173,,,,,,,,
5.811055501,,,,,,,,
-2.13654836,,,,,,,,
-10.24119059,,,,,,,,
15.37386576,,,,,,,,
8.183161418,,,,,,,,
7.114092509,,,,,,,,
2.629915873,,,,,,,,
-12.14885712,,,,,,,,
-6.853103638,,,,,,,,
-3.25012207,,,,,,,,
-7.052103678,,,,,,,,
-4.321734111,,,,,,,,
-8.109728495,,,,,,,,
-4.571596781,,,,,,,,
-5.460103353,,,,,,,,
-8.605957031,,,,,,,,
-5.330403646,,,,,,,,
0.106175741,,,,,,,,
-6.657918294,,,,,,,,
3.142356873,,,,,,,,
-6.15978241,,,,,,,,
-11.41166687,,,,,,,,
0.696500142,,,,,,,,
-1.501719157,,,,,,,,
-4.775047302,,,,,,,,
-11.07660929,,,,,,,,
-11.06421153,,,,,,,,
5.805651347,,,,,,,,
14.032046,,,,,,,,
19.57925161,,,,,,,,
25.69802602,,,,,,,,
33.52101644,,,,,,,,
25.13281504,,,,,,,,
17.5336202,,,,,,,,
16.33294423,,,,,,,,
16.39970144,,,,,,,,
11.03146871,,,,,,,,
6.415049235,,,,,,,,
3.863970439,,,,,,,,
0.05753835,,,,,,,,
5.599021912,,,,,,,,
9.797732035,,,,,,,,
15.08458455,,,,,,,,
11.49908702,,,,,,,,
-1.909573873,,,,,,,,
-2.497990926,,,,,,,,
3.143628438,,,,,,,,
0.828107198,,,,,,,,
14.80770111,,,,,,,,
18.58488719,,,,,,,,
9.083429972,,,,,,,,
13.6979421,,,,,,,,
12.17492421,,,,,,,,
17.33907064,,,,,,,,
24.94080861,,,,,,,,
30.9120814,,,,,,,,
40.17988841,,,,,,,,
53.99958293,,,,,,,,
70.02417247,,,,,,,,
87.03263601,,,,,,,,
93.31893921,,,,,,,,
112.2538249,,,,,,,,
130.522728,,,,,,,,
153.5371145,,,,,,,,
179.5142492,,,,,,,,
179.0380478,,,,,,,,
205.9656779,,,,,,,,
220.2253342,,,,,,,,
233.9480718,,,,,,,,
235.7368469,,,,,,,,
236.3560994,,,,,,,,
226.085345,,,,,,,,
224.1913478,,,,,,,,
223.1502533,,,,,,,,
208.3450953,,,,,,,,
196.3736216,,,,,,,,
183.3133698,,,,,,,,
166.6768392,,,,,,,,
146.0647583,,,,,,,,
121.4758555,,,,,,,,
96.67364756,,,,,,,,
74.40980275,,,,,,,,
47.32354482,,,,,,,,
17.2662735,,,,,,,,
2.05039978,,,,,,,,
-39.61722056,,,,,,,,
-48.75342051,,,,,,,,
-97.40638733,,,,,,,,
-94.02688344,,,,,,,,
-94.81239319,,,,,,,,
-103.6014557,,,,,,,,
-109.0084712,,,,,,,,
-119.4403966,,,,,,,,
-122.2950617,,,,,,,,
-112.0293935,,,,,,,,
-127.3520788,,,,,,,,
-125.9155273,,,,,,,,
-125.5664825,,,,,,,,
-130.560557,,,,,,,,
-123.8924662,,,,,,,,
-127.0834605,,,,,,,,
-125.8128484,,,,,,,,
-126.3074875,,,,,,,,
-126.0821025,,,,,,,,
-113.7714386,,,,,,,,
-111.8618647,,,,,,,,
-116.3326899,,,,,,,,
-112.3069127,,,,,,,,
-112.0627721,,,,,,,,
-114.9504979,,,,,,,,
-111.1440659,,,,,,,,
-121.6580073,,,,,,,,
-119.6381251,,,,,,,,
-107.9495748,,,,,,,,
-119.0045675,,,,,,,,
-107.9216003,,,,,,,,
-100.5566915,,,,,,,,
-112.3078664,,,,,,,,
-99.65451558,,,,,,,,
-86.25475566,,,,,,,,
-86.75225576,,,,,,,,
-68.38289897,,,,,,,,
-74.96007284,,,,,,,,
-64.24776713,,,,,,,,
-66.09535217,,,,,,,,
-69.89129384,,,,,,,,
-61.31585439,,,,,,,,
-67.63807933,,,,,,,,
-60.48679352,,,,,,,,
-54.94022369,,,,,,,,
-57.05356598,,,,,,,,
-52.44986216,,,,,,,,
-51.56071981,,,,,,,,
-59.64120229,,,,,,,,
-50.36226908,,,,,,,,
-55.69553375,,,,,,,,
-45.31383514,,,,,,,,
-33.47110748,,,,,,,,
-32.07556407,,,,,,,,
-29.05686696,,,,,,,,
-32.98346202,,,,,,,,
-40.62080383,,,,,,,,
-34.30080414,,,,,,,,
-40.11249542,,,,,,,,
-31.97224935,,,,,,,,
-8.618036906,,,,,,,,
-8.276621501,,,,,,,,
-3.588358561,,,,,,,,
-0.935236613,,,,,,,,
-12.4502182,,,,,,,,
-5.991617839,,,,,,,,
-10.09305318,,,,,,,,
-3.207842509,,,,,,,,
-0.353177389,,,,,,,,
-10.27361552,,,,,,,,
-5.871772766,,,,,,,,
-9.499867757,,,,,,,,
-7.392565409,,,,,,,,
-3.618876139,,,,,,,,
-5.624135335,,,,,,,,
-10.56734721,,,,,,,,
-7.369677226,,,,,,,,
-13.00525665,,,,,,,,
-0.201861064,,,,,,,,
-1.128832499,,,,,,,,
-0.333150228,,,,,,,,
6.127993266,,,,,,,,
-1.109441121,,,,,,,,
4.117329915,,,,,,,,
5.783398946,,,,,,,,
3.003438314,,,,,,,,
7.483800252,,,,,,,,
7.218996684,,,,,,,,
0.039100647,,,,,,,,
11.4218394,,,,,,,,
6.71005249,,,,,,,,
8.819262187,,,,,,,,
7.033983866,,,,,,,,
-1.918474833,,,,,,,,
0.889778137,,,,,,,,
-0.241279602,,,,,,,,
-2.826372782,,,,,,,,
11.36430105,,,,,,,,
7.455507914,,,,,,,,
2.863883972,,,,,,,,
21.71357473,,,,,,,,
12.15203603,,,,,,,,
18.71490479,,,,,,,,
24.6515274,,,,,,,,
23.87905121,,,,,,,,
19.09224192,,,,,,,,
8.703231812,,,,,,,,
8.019765218,,,,,,,,
20.24110158,,,,,,,,
18.80836487,,,,,,,,
15.82654317,,,,,,,,
15.25433858,,,,,,,,
4.625320435,,,,,,,,
14.77432251,,,,,,,,
0.739415487,,,,,,,,
-6.217002869,,,,,,,,
33.20058187,,,,,,,,
12.03250885,,,,,,,,
16.33612315,,,,,,,,
14.55815633,,,,,,,,
6.684621175,,,,,,,,
14.3292745,,,,,,,,
4.281997681,,,,,,,,
1.437505086,,,,,,,,
14.84680176,,,,,,,,
1.41175588,,,,,,,,
12.2906367,,,,,,,,
13.79489899,,,,,,,,
7.503827413,,,,,,,,
19.76553599,,,,,,,,
22.07946777,,,,,,,,
15.34144084,,,,,,,,
8.443514506,,,,,,,,
15.20760854,,,,,,,,
14.71614838,,,,,,,,
14.76033529,,,,,,,,
10.83596547,,,,,,,,
18.31499736,,,,,,,,
5.334854126,,,,,,,,
10.73042552,,,,,,,,
15.4282252,,,,,,,,
12.80339559,,,,,,,,
5.387941996,,,,,,,,
12.48486837,,,,,,,,
6.477038066,,,,,,,,
9.663263957,,,,,,,,
-1.909573873,,,,,,,,
1.649856567,,,,,,,,
19.89841461,,,,,,,,
17.12036133,,,,,,,,
13.96624247,,,,,,,,
22.60335286,,,,,,,,
12.87237803,,,,,,,,
15.83449046,,,,,,,,
16.34216309,,,,,,,,
17.22049713,,,,,,,,
-15.57572683,,,,,,,,
-6.407737732,,,,,,,,
0.92569987,,,,,,,,
8.228937785,,,,,,,,
7.341702779,,,,,,,,
15.49339294,,,,,,,,
20.98274231,,,,,,,,
15.24321238,,,,,,,,
19.95150248,,,,,,,,
23.44290415,,,,,,,,
19.56494649,,,,,,,,
22.88087209,,,,,,,,
16.13680522,,,,,,,,
20.18992106,,,,,,,,
14.8229599,,,,,,,,
10.71198781,,,,,,,,
15.96387227,,,,,,,,
1.506487528,,,,,,,,
-9.115854899,,,,,,,,
-13.89185588,,,,,,,,
-17.99233754,,,,,,,,
-4.858016968,,,,,,,,
28.69192759,,,,,,,,
46.36319478,,,,,,,,
65.37596385,,,,,,,,
81.1885198,,,,,,,,
97.80057271,,,,,,,,
105.4887772,,,,,,,,
104.1056315,,,,,,,,
95.91643016,,,,,,,,
88.69107564,,,,,,,,
71.17525736,,,,,,,,
69.02345022,,,,,,,,
68.07263692,,,,,,,,
47.90274302,,,,,,,,
50.43919881,,,,,,,,
40.49015045,,,,,,,,
42.50240326,,,,,,,,
35.26496887,,,,,,,,
35.18740336,,,,,,,,
44.7400411,,,,,,,,
26.54075623,,,,,,,,
21.14486694,,,,,,,,
22.99499512,,,,,,,,
7.848739624,,,,,,,,
9.524345398,,,,,,,,
7.246017456,,,,,,,,
-6.150245667,,,,,,,,
-0.680287679,,,,,,,,
4.164059957,,,,,,,,
4.613558451,,,,,,,,
-4.390716553,,,,,,,,
-14.3067042,,,,,,,,
-11.98705037,,,,,,,,
-8.087158203,,,,,,,,
-12.97156016,,,,,,,,
-6.98184967,,,,,,,,
-22.23968506,,,,,,,,
-25.84489187,,,,,,,,
-14.11501567,,,,,,,,
-18.45518748,,,,,,,,
-22.98132579,,,,,,,,
-22.01112111,,,,,,,,
-17.72181193,,,,,,,,
-7.826487223,,,,,,,,
-14.032046,,,,,,,,
-22.30612437,,,,,,,,
-22.64213562,,,,,,,,
-20.97225189,,,,,,,,
-30.62884013,,,,,,,,
-33.97401174,,,,,,,,
-43.84295146,,,,,,,,
-24.82509613,,,,,,,,
-25.70025126,,,,,,,,
-24.65661367,,,,,,,,
-20.5968221,,,,,,,,
-29.41799164,,,,,,,,
-23.55416616,,,,,,,,
-30.14596303,,,,,,,,
-33.93777212,,,,,,,,
-27.56690979,,,,,,,,
-32.36071269,,,,,,,,
-37.45301565,,,,,,,,
-28.50786845,,,,,,,,
-18.87830098,,,,,,,,
-23.14853668,,,,,,,,
-20.1772054,,,,,,,,
-30.02611796,,,,,,,,
-13.40230306,,,,,,,,
-14.1509374,,,,,,,,
-13.63277435,,,,,,,,
-10.78351339,,,,,,,,
-14.21356201,,,,,,,,
-16.02141062,,,,,,,,
-8.169809977,,,,,,,,
-8.26772054,,,,,,,,
-0.458717346,,,,,,,,
-6.796836853,,,,,,,,
-8.999824524,,,,,,,,
13.22873433,,,,,,,,
1.831054688,,,,,,,,
5.020141602,,,,,,,,
-2.683639526,,,,,,,,
-9.924252828,,,,,,,,
-3.078460693,,,,,,,,
3.863652547,,,,,,,,
0.812848409,,,,,,,,
8.591016134,,,,,,,,
-6.938298543,,,,,,,,
-14.99398549,,,,,,,,
-6.579081217,,,,,,,,
-22.63641357,,,,,,,,
-6.747881571,,,,,,,,
0.189463298,,,,,,,,
-5.889574687,,,,,,,,
0.470797221,,,,,,,,
-0.146547953,,,,,,,,
4.994074504,,,,,,,,
-2.791722616,,,,,,,,
-11.63991292,,,,,,,,
-0.702857971,,,,,,,,
-2.593994141,,,,,,,,
-8.007049561,,,,,,,,
-4.104614258,,,,,,,,
-4.870096842,,,,,,,,
-6.300290426,,,,,,,,
-4.811604818,,,,,,,,
-7.363319397,,,,,,,,
-5.012512207,,,,,,,,
8.486111959,,,,,,,,
1.409848531,,,,,,,,
13.6089325,,,,,,,,
-1.663843791,,,,,,,,
-13.39658101,,,,,,,,
-20.10854085,,,,,,,,
-29.3041865,,,,,,,,
-33.83350372,,,,,,,,
-22.29690552,,,,,,,,
-7.067362467,,,,,,,,
5.235671997,,,,,,,,
5.544026693,,,,,,,,
2.62482961,,,,,,,,
-1.285235087,,,,,,,,
-19.55286662,,,,,,,,
2.049446106,,,,,,,,
-2.045631409,,,,,,,,
-14.0953064,,,,,,,,
-6.518999736,,,,,,,,
-2.730687459,,,,,,,,
-8.783976237,,,,,,,,
-4.380861918,,,,,,,,
-9.313583374,,,,,,,,
-11.41738892,,,,,,,,
-16.60950979,,,,,,,,
-19.92321014,,,,,,,,
-15.72132111,,,,,,,,
-21.51203156,,,,,,,,
-17.41886139,,,,,,,,
-10.06730398,,,,,,,,
-7.706006368,,,,,,,,
4.600207011,,,,,,,,
-3.699302673,,,,,,,,
-16.16032918,,,,,,,,
-5.856196086,,,,,,,,
-12.97664642,,,,,,,,
-13.47414653,,,,,,,,
-11.61956787,,,,,,,,
-19.33670044,,,,,,,,
-14.28699493,,,,,,,,
-6.445248922,,,,,,,,
-1.698811849,,,,,,,,
4.777272542,,,,,,,,
-5.760510763,,,,,,,,
-3.894488017,,,,,,,,
11.89899445,,,,,,,,
2.245267232,,,,,,,,
9.702682495,,,,,,,,
17.65950521,,,,,,,,
14.42432404,,,,,,,,
18.90945435,,,,,,,,
24.15307363,,,,,,,,
17.69955953,,,,,,,,
22.46665955,,,,,,,,
28.56699626,,,,,,,,
28.02022298,,,,,,,,
32.28378296,,,,,,,,
26.47431691,,,,,,,,
37.16023763,,,,,,,,
38.6505127,,,,,,,,
20.9757487,,,,,,,,
24.62132772,,,,,,,,
4.370053609,,,,,,,,
14.25774892,,,,,,,,
15.56809743,,,,,,,,
13.56124878,,,,,,,,
23.27601115,,,,,,,,
26.00129445,,,,,,,,
15.27245839,,,,,,,,
23.01375071,,,,,,,,
16.8056488,,,,,,,,
19.57670848,,,,,,,,
30.55953979,,,,,,,,
11.00762685,,,,,,,,
16.34438833,,,,,,,,
13.53963216,,,,,,,,
9.443918864,,,,,,,,
13.99326324,,,,,,,,
11.1618042,,,,,,,,
10.08987427,,,,,,,,
16.27667745,,,,,,,,
17.12449392,,,,,,,,
13.63245646,,,,,,,,
12.76779175,,,,,,,,
13.35557302,,,,,,,,
16.53003693,,,,,,,,
4.986127218,,,,,,,,
0.749905904,,,,,,,,
-4.456202189,,,,,,,,
-5.262056986,,,,,,,,
-4.158655802,,,,,,,,
-6.66586558,,,,,,,,
-9.040514628,,,,,,,,
-3.688494364,,,,,,,,
-9.856541951,,,,,,,,
-6.439526876,,,,,,,,
-7.347742716,,,,,,,,
-25.21514893,,,,,,,,
-19.46131388,,,,,,,,
-23.68768056,,,,,,,,
-9.285926819,,,,,,,,
-2.991676331,,,,,,,,
-5.913734436,,,,,,,,
18.65736643,,,,,,,,
14.33054606,,,,,,,,
3.416697184,,,,,,,,
4.409472148,,,,,,,,
3.354390462,,,,,,,,
0.695546468,,,,,,,,
15.8402125,,,,,,,,
11.04418437,,,,,,,,
5.25188446,,,,,,,,
-3.68754069,,,,,,,,
-9.528795878,,,,,,,,
-9.548187256,,,,,,,,
-12.49821981,,,,,,,,
-9.360949198,,,,,,,,
0.232696533,,,,,,,,
1.278559367,,,,,,,,
-4.57572937,,,,,,,,
-8.492787679,,,,,,,,
-22.96066284,,,,,,,,
-18.22853088,,,,,,,,
-14.087677,,,,,,,,
4.92699941,,,,,,,,
32.98695882,,,,,,,,
44.06166077,,,,,,,,
65.47641754,,,,,,,,
90.87562561,,,,,,,,
95.07433573,,,,,,,,
123.7611771,,,,,,,,
134.2344284,,,,,,,,
149.5345434,,,,,,,,
158.0053965,,,,,,,,
146.8795141,,,,,,,,
131.573995,,,,,,,,
120.3289032,,,,,,,,
97.79771169,,,,,,,,
110.9275818,,,,,,,,
88.61319224,,,,,,,,
61.68746948,,,,,,,,
42.65753428,,,,,,,,
10.21798452,,,,,,,,
0.729878743,,,,,,,,
-1.581827799,,,,,,,,
-19.49373881,,,,,,,,
-29.81694539,,,,,,,,
-35.66837311,,,,,,,,
-52.50136058,,,,,,,,
-51.31022135,,,,,,,,
-47.2685496,,,,,,,,
-50.18901825,,,,,,,,
-55.79503377,,,,,,,,
-68.05928548,,,,,,,,
-71.02235158,,,,,,,,
-70.28166453,,,,,,,,
-92.41263072,,,,,,,,
-75.89054108,,,,,,,,
-81.12017314,,,,,,,,
-78.89302572,,,,,,,,
-70.05151113,,,,,,,,
-78.36437225,,,,,,,,
-72.94845581,,,,,,,,
-61.19251251,,,,,,,,
-62.8083547,,,,,,,,
-55.19326528,,,,,,,,
-55.35634359,,,,,,,,
-52.92288462,,,,,,,,
-49.73220825,,,,,,,,
-57.77994792,,,,,,,,
-55.30579885,,,,,,,,
-48.76263936,,,,,,,,
-46.13208771,,,,,,,,
-29.68088786,,,,,,,,
-26.94161733,,,,,,,,
-23.69213104,,,,,,,,
-21.89985911,,,,,,,,
-26.09189351,,,,,,,,
-22.87769318,,,,,,,,
-13.72782389,,,,,,,,
-17.69161224,,,,,,,,
-11.87896729,,,,,,,,
-14.97014364,,,,,,,,
-18.07657878,,,,,,,,
-19.9209849,,,,,,,,
-26.61196391,,,,,,,,
-23.30938975,,,,,,,,
-17.08253225,,,,,,,,
-20.08756002,,,,,,,,
-10.38614909,,,,,,,,
-17.53075918,,,,,,,,
-18.561999,,,,,,,,
-3.996213277,,,,,,,,
-11.70539856,,,,,,,,
1.087188721,,,,,,,,
0.853856405,,,,,,,,
-11.91107432,,,,,,,,
-12.22991943,,,,,,,,
-5.483945211,,,,,,,,
-1.088778178,,,,,,,,
-0.985145569,,,,,,,,
-5.960782369,,,,,,,,
0.126202901,,,,,,,,
3.250439962,,,,,,,,
-5.696614583,,,,,,,,
4.488945007,,,,,,,,
2.683321635,,,,,,,,
-5.432128906,,,,,,,,
4.79666392,,,,,,,,
3.174781799,,,,,,,,
0.712394714,,,,,,,,
4.633585612,,,,,,,,
-3.560702006,,,,,,,,
3.046353658,,,,,,,,
9.292284648,,,,,,,,
3.397623698,,,,,,,,
8.769671122,,,,,,,,
7.36618042,,,,,,,,
9.439150492,,,,,,,,
19.51471965,,,,,,,,
6.153424581,,,,,,,,
10.04155477,,,,,,,,
11.49400075,,,,,,,,
5.296389262,,,,,,,,
15.87454478,,,,,,,,
7.117271423,,,,,,,,
19.07412211,,,,,,,,
25.04793803,,,,,,,,
19.6129481,,,,,,,,
31.46012624,,,,,,,,
27.24424998,,,,,,,,
17.53489176,,,,,,,,
2.113342285,,,,,,,,
-10.39822896,,,,,,,,
-21.69132233,,,,,,,,
-9.110132853,,,,,,,,
4.008928935,,,,,,,,
23.20671082,,,,,,,,
16.45723979,,,,,,,,
16.36695862,,,,,,,,
23.23563894,,,,,,,,
5.440711975,,,,,,,,
1.320838928,,,,,,,,
11.92410787,,,,,,,,
3.62555186,,,,,,,,
-18.68788401,,,,,,,,
9.387969971,,,,,,,,
2.168655396,,,,,,,,
-12.52587636,,,,,,,,
-18.31531525,,,,,,,,
-21.93705241,,,,,,,,
-43.89254252,,,,,,,,
-42.26938883,,,,,,,,
-48.00097148,,,,,,,,
-47.93421427,,,,,,,,
-51.69995626,,,,,,,,
-40.80263774,,,,,,,,
-49.54687754,,,,,,,,
-43.26121012,,,,,,,,
-36.27904256,,,,,,,,
-40.01998901,,,,,,,,
-29.45804596,,,,,,,,
-30.09478251,,,,,,,,
-35.98372142,,,,,,,,
-30.19364675,,,,,,,,
-26.24924978,,,,,,,,
-27.71313985,,,,,,,,
-28.93098195,,,,,,,,
-36.14266713,,,,,,,,
-31.58219655,,,,,,,,
-29.69614665,,,,,,,,
-34.97536977,,,,,,,,
